dataset,dp,trustrag,av,poisoning,mba,ado,answer_relevancy,faithfulness,context_relevancy,context_recall,poison_asr,poison_success,poison_total,mba_member,mba_non_member
pubmedqa,False,False,False,False,False,False,0.833,0.643,0.424,0.625,0.0,0,0,0.0,0.0
pubmedqa,False,False,False,False,False,True,0.603,0.71,0.0,0.0,0.0,0,0,0.0,0.0
pubmedqa,False,False,False,False,True,False,0.84,0.672,0.431,0.612,0.0,0,0,37.0,6.0
pubmedqa,False,False,True,False,False,False,0.76,0.666,0.39,0.591,0.0,0,0,0.0,0.0
pubmedqa,False,True,False,False,False,False,0.803,0.712,0.418,0.584,0.0,0,0,0.0,0.0
pubmedqa,False,True,True,False,False,False,0.477,0.77,0.326,0.52,0.0,0,0,0.0,0.0
pubmedqa,True,False,False,False,False,False,0.793,0.68,0.27,0.398,0.0,0,0,0.0,0.0
pubmedqa,True,False,False,False,True,False,0.793,0.7,0.273,0.402,0.0,0,0,19.3,5.0
pubmedqa,True,False,True,False,False,False,0.563,0.7,0.224,0.354,0.0,0,0,0.0,0.0
pubmedqa,True,True,False,False,False,False,0.803,0.66,0.267,0.383,0.0,0,0,0.0,0.0
pubmedqa,True,True,True,False,False,False,0.583,0.72,0.205,0.335,0.0,0,0,0.0,0.0
